source sentence, target sentence
que vous tes dr le. , you are hilarious.
je suis en train de parler. , i m speaking.
il d pend financi rement de son pouse. , he s financially dependent on his wife.
vous tes tellement gentilles! , you re so sweet.
je suis c libataire. , i m single.
je suis libre le dimanche. , i m free on sunday.
vous tes en avance. , you are early.
je t ordonne de partir imm diatement. , i m ordering you to leave immediately.
vous tes court d options. , you re running out of options.
elle a cinq ans de moins que moi. , she is five years younger than me.
vous ne dites pas la v rit. , you re not telling the truth.
je vais au lit. , i am going to bed.
il est trois ans plus vieux que moi. , he s three years older than me.
je ne parie plus. , i m not gambling anymore.
je ne suis pas diff rent de toi. , i m no different than you.
je ne suis pas facilement impressionn. , i m not easily impressed.
je suis s r que tom serait ravi. , i m sure tom would be delighted.
il a des chances de remporter la partie. , he is likely to win the game.
je suis d sol pour votre perte. , i m sorry about your loss.
vous faites des mani res. , you re fussy.
je suis votre d biteur. , i am in your debt.
je suis toujours prudent. , i m always careful.
je suis minutieux. , i m thorough.
tu es d pourvue d ambition. , you re unambitious.
elle arr ta de parler. , she stopped talking.
tu es tr s bon a. , you re very good at this.
il est motiv pour r ussir. , he is eager to succeed.
il lit un livre. , he is reading a book.
il est peintre. , he is a painter.
tu n es pas en forme. , you re not fit.
vous tes tr s occup e. , you re very busy.
je suis responsable de cette mission. , i m in charge of this mission.
je suis court d id es. , i m running out of ideas.
je ne suis pas nerveux. , i m not nervous.
c est un petit gars intelligent. , he s a smart little feller.
elle est presque aussi grande que toi. , she is almost as tall as you are.
je n ai pas tr s faim. , i m not very hungry.
je suis tr s contente de te revoir. , i m very glad to see you again.
je ne suis pas un menteur. , i m not a liar.
je suis votre nouvel avocat. , i m your new lawyer.
vous tes extravertie. , you re extroverted.
je commence le croire. , i m starting to believe that.
je vais m envoler pour l australie. , i m going to fly to australia.
il est actif et en forme. , he s active and fit.
il est notre professeur d anglais. , he is our teacher of english.
tu es au bon endroit. , you re in the right place.
je suis enchant d tre ici. , i am delighted to be here.
j pargne pour une voiture. , i m saving money for a car.
je suis tr s fier de mon fils. , i m very proud of my son.
je ne suis pas autoris vous aider. , i m not allowed to help you.
je vais de mieux en mieux chaque jour. , i m getting better every day.
vous tes fort raffin e. , you re very sophisticated.
je suis ton fr re. , i m your brother.
je ne vais pas te revoir. , i m not going to see you again.
je suis gav e. , i m stuffed.
vous tes respect de tous. , you re respected by everybody.
vous n tes pas m decin. , you re no doctor.
elle passa plusieurs jours l h tel. , she stayed at the hotel for several days.
tu es agressive. , you re aggressive.
je le fais pour toi. , i m doing this for you.
vous tes en retard. , you re late.
vous tes tr s riches. , you are very rich.
elle d pend de son mari. , she s dependent on her husband.
vous n tes pas morte. , you re not dead.
je redoute l examen. , i m dreading the exam.
vous tes vraiment emb tantes. , you re really annoying.
je suis en train de changer de poste. , i m between jobs.
je ne vais pas gaspiller mon argent. , i m not going to waste my money.
elle fait des progr s en chinois. , she is progressing in chinese.
il est conscient de ses d fauts. , he s aware of his own faults.
je suis en cong s. , i m on holiday.
vous tes une m chante vieille femme. , you re a mean old woman.
tu es tir e d affaire. , you re off the hook.
vous tes tr s ouvert. , you re very open.
je suis plus l gante que toi. , i m smarter than you.
vous tes courtoises. , you re courteous.
je suis une bonne personne. , i m a good person.
je ne te donnerai pas davantage d argent. , i m not giving you any more money.
je suis impatient de vous voir. , i m anxious to see you.
tu n es pas fatigu si? , you re not tired are you?
le bleu vous sied superbement. , you are very attractive in blue.
j ai mal partout. , i m sore all over.
je ne vais pas perdre mon temps. , i m not wasting my time.
tu es tr s attirant. , you re very attractive.
tu es jeune et fort. , you re young and strong.
je ne vais pas m impliquer. , i m not going to get involved.
je parle avec tom. , i am talking with tom.
je suis en cong cette semaine. , i am on holiday this week.
vous tes tr s observateurs. , you re very observant.
je suis tourdie. , i m forgetful.
il est tr s sociable. , he is very sociable.
je suis dans la baignoire. , i m in the bathtub.
tu n es plus une enfant. , you are not a child any more.
je suis en train de dormir. , i m sleeping.
je suis trop fatigu pour sortir courir. , i m too tired to go out jogging.
vous tes invit es. , you re invited.
elle est aim e de ses amis. , she s loved by her friends.
je ne suis plus mari e. , i m not married anymore.
vous tes toujours vivante. , you re still alive.
c est un auteur. , he s an author.
je ne suis pas si veinard. , i m not so lucky.
vous tes tr s vif. , you re very sharp.
tu n es pas m decin. , you re not a doctor.
je suis ravi d tre ici. , i m delighted to be here.
je suis presque pr te. , i m about ready.
vous tes tr s belle. , you are very beautiful.
je commence avoir un peu faim. , i m beginning to feel a little hungry.
je me fais porter p le demain. , i m calling in sick tomorrow.
vous m avez bien motiv. , i m highly motivated.
je manque d espace dans mon placard. , i m running out of closet space.
j essaye de sauver la vie de tom. , i m trying to save tom s life.
je ne trouve pas les mots. , i m at a loss for words.
elle a h te de le revoir. , she is looking forward to seeing him again.
elle me montra sa nouvelle voiture. , she showed me her new car.
je suis la meilleure. , i m the best.
je suis habitu e conduire un camion. , i m used to driving a truck.
je suis en col re. , i m angry.
je suis facile vivre. , i m easygoing.
je suis mal barr e. , i am in trouble.
tu sais te faire comprendre. , you re assertive.
il porte ses livres sous son bras. , he is holding his books under his arm.
tout le monde est mes yeux suspect. , i m suspicious of everybody.
je crains qu il ne puisse venir. , i m afraid he cannot come.
je suis professeur. , i am a teacher.
elle restait proche de son mari. , she stood close to her husband.
je me demande si je l aime. , i m wondering if i love him.
il est introverti. , he is introverted.
elle adore les animaux. , she is fond of animals.
je ne suis pas assur e. , i m uninsured.
vous tes fort l gant. , you re very stylish.
je suis un enfant. , i m a child.
je suis vraiment contente. , i m really happy.
il n est pas encore l. , he s not in yet.
je ne suis pas sourd. , i am not deaf.
vous n tes plus les bienvenus chez moi. , you re no longer welcome in my house.
je suis habitu. , i m used to it.
il est intimid par les belles femmes. , he s intimidated by beautiful women.
tu es dans la merde. , you re in big trouble.
je suis allergique aux fruits de mer. , i m allergic to shellfish.
elle est sympa avec moi. , she s nice to me.
elle est bien connue comme chanteuse. , she s well known as a singer.
je n en ai pas encore termin. , i m not done yet.
je suis motiv. , i m motivated.
je suis enchant e de te rencontrer. , i m delighted to meet you.
ce n est pas une l ve ordinaire. , she is no ordinary student.
je ne lui suis pas li. , i am not acquainted with him.
je romps ce soir avec ma petite amie. , i m breaking up with my girlfriend tonight.
vous tes fort ing nieux. , you re very clever.
c est un bigot. , he s a bigot.
je suis content que ce soit fini. , i m glad that s over.
je ne suis pas l pour vous. , i m not here for you.
je passe une audition pour le r le. , i m auditioning for the part.
vous tes tr s attirant. , you re very attractive.
je n en suis pas totalement convaincue. , i m not totally convinced of that.
tu n es pas suppos te trouver l. , you re not supposed to be here.
je ne vais pas m vanouir. , i m not going to pass out.
vous tes tr s ouvertes. , you re very open.
elle a la baraka. , she s on a roll.
vous tes celui l. , you are the one.
tu es timide n est ce pas? , you re shy aren t you?
je suis s r que c est mal. , i m sure that s wrong.
vous tes plus intelligent que moi. , you re smarter than me.
j ai des ennuis jusqu au cou. , i m in way over my head.
je cherche une solution plus simple. , i m looking for a simpler solution.
je suis reconnaissant d avoir mes enfants. , i m thankful for my children.
je suis s r qu il viendra. , i m certain that he ll come.
il est tr s intelligent. , he s very intelligent.
je suis bourr e. , i m sloshed.
je ne suis pas vraiment inquiet ce sujet. , i m not really worried about that.
je suis fatigu de regarder la t l. , i m tired of watching tv.
je suis aussi g que toi. , i m as old as you.
je suis cuisinier. , i am a cook.
elle semble heureuse d tre ici. , she seems happy to be here.
elle est occup e. , she s busy.
tu n es plus seul. , you re not alone anymore.
il est tudiant au lyc e yushu. , he is a student at yushu high school.
elle le sermonna. , she scolded him.
je me concentre sur mon travail. , i m focusing on my job.
je ne suis pas votre ennemie. , i am not your enemy.
il vous attend chez moi. , he s waiting for you at home.
vous tes plus grande qu elle. , you are taller than she is.
je crains que tu m aies mal compris. , i m afraid you misunderstood me.
je suis heureux de te voir. , i m glad to see you.
j ai honte de moi m me. , i am ashamed of myself.
tu travailles dur. , you re working hard.
t es vraiment pas marrant. , you re no fun at all.
vous tes paresseux. , you re lazy.
tu es maigrichonne. , you re skinny.
je suis s re que tom peut gagner. , i m sure tom can win.
vous tes bougon. , you re grumpy.
vous n tes pas diff rents. , you re no different.
elle m embrassa subitement. , she suddenly kissed me.
il est professeur d anglais leeds. , he is a professor of english at leeds.
vous n tes pas contusionn es. , you re not bruised.
t es une fille marrante. , you re a funny girl.
je suis dans un endroit. , i am in a spot.
elle est experte en math matiques. , she is an expert in mathematics.
je ne suis plus ainsi. , i m not like that anymore.
il est ha. , he is hated.
il est trop stupide pour craindre le danger. , he is too dumb to fear danger.
je n en suis pas fier. , i am not proud of this.
il est v lo. , he is riding a bicycle.
tu n es pas invit. , you aren t invited.
c est un jeune homme d affaires prometteur. , he is a promising young businessman.
je suis un artiste. , i am an artist.
je suis celui qui l a rencontr. , i m the one who met him.
tu es tr s talentueuse. , you re very talented.
mon travail ne me pla t pas. , i m not happy with my job.
je suis pr par. , i m prepared.
je ne vais pas te montrer ceci. , i m not going to show you this.
vous tes l lu. , you are the one.
c est s r qu il r ussira. , he s certain to succeed.
je suis trop fatigu pour nager. , i m too tired to swim.
je vais l glise. , i m going to church.
je vais en am rique en avion. , i am going to america by plane.
vous n tes pas cens tre l dedans. , you re not supposed to be in here.
je ne me sens pas offens. , i m not offended.
je ne suis pas ce genre de fille. , i m not that kind of girl.
tu es plus mignonne que mary. , you re cuter than mary.
vous n tes pas seuls. , you re not alone.
elle devient de plus en plus jolie. , she is getting prettier and prettier.
je n en suis pas trop tonn e. , i m not that surprised by it.
j tudie l art dramatique du kabuki. , i m studying kabuki drama.
tu es nouvelle ici n est ce pas? , you re new here aren t you?
il n est qu un r veur. , he is nothing more than a dreamer.
c est une fille obstin e. , she is an obstinate girl.
elle est l diteur en chef. , she is the editor in chief.
je suis en quelque sorte introverti. , i m sort of an introvert.
je suis avocat. , i m a lawyer.
je suis tonn e de te voir. , i m surprised to see you.
j ai du mal avec les noms. , i m not good with names.
vous tes chanceuses. , you re fortunate.
son travail l absorbe. , he is absorbed in his work.
je vais tre votre instituteur. , i m going to be your teacher.
je suis belle. , i m beautiful.
il sait jouer de la guitare. , he is able to play the guitar.
je suis tudiant l universit de hyogo. , i am a student at hyogo university.
je suis un tranger ici. , i am a stranger here.
vous d rangez tout le voisinage. , you re disturbing the whole neighborhood.
je suis trop saoul. , i m too drunk.
il est l ami de tout le monde. , he s everybody s friend.
vous n tes pas le seul canadien ici. , you re not the only canadian here.
tu nous fais perdre notre temps. , you re wasting our time.
je ne suis pas votre fils. , i m not your son.
je suis fort impressionn e. , i m definitely impressed.
je suis celui qui est malade. , i m the one who s sick.
il a l habitude de travailler dur. , he is accustomed to hard work.
je suis int ress par l anglais. , i am interested in english.
il est crivain et po te. , he is a novelist and poet.
je te demande pardon pour tout. , i m sorry for everything.
je suis ravie de te rencontrer. , i m delighted to meet you.
j ai le c ur bris. , i m heartbroken.
vous tes suppos ne pas fumer l cole. , you are not supposed to smoke at school.
elle est deux ans plus vieille que vous. , she is two years older than you.
je ne suis pas v g tarienne. , i m not a vegetarian.
vous le faites correctement. , you re doing it right.
je vais recommencer. , i m going to start over.
je suis pr occup e. , i m concerned.
je ne suis pas un professionnel. , i m not a professional.
il y travaille. , he s working on it.
il est mouill. , he s wet.
je n enfreins pas la loi. , i m not breaking the law.
il est dans la cuisine. , he s in the kitchen.
je n en suis pas content. , i m not happy about it.
tu es endormie. , you re sleepy.
vous avez raison ce sujet. , you re right about that.
je suis si malade. , i am so sick.
je vous invite. , i m inviting you.
vous tes toutes invit es. , you re all invited.
tu es d une humeur trange aujourd hui. , you re in a strange mood today.
tu es inqui te pas vrai? , you re worried aren t you?
tu es mon amie. , you re my friend.
je suis bien plus jeune que vous. , i m much younger than you.
j esp re avoir de tes nouvelles. , i m looking forward to hearing from you.
j en ai marre de faire la queue. , i m tired of waiting in line.
c est moi qui paie. , i m buying.
je sur r agis. , i m overreacting.
vous tes idiot. , you re being silly.
tu es fort motive. , you re very emotional.
je ne le dirai pas deux fois. , i m only going to say this once.
je suis impartiale. , i m unbiased.
je suis convaincu de son innocence. , i am convinced that he is innocent.
je vote non. , i m voting no.
j ai encore plut t faim. , i m still kind of hungry.
avec plaisir. , you re welcome.
vous tes juste. , you re fair.
je ne suis pas contente. , i am not happy.
je r pare le lave linge. , i am repairing the washing machine.
j ai la m me taille que tom. , i m the same height as tom is.
tu es d loyale. , you re disloyal.
je vais faire a lundi prochain. , i m going to do that next monday.
je suis assez occup tom. , i m kind of busy right now tom.
vous souffrez n est ce pas? , you re in pain aren t you?
je n en peux plus des hamburgers. , i m sick and tired of hamburgers.
je suis en train d acheter un chiot. , i m buying a puppy.
je ne sais pas quoi dire. , i m not sure what to say.
pas question que je te laisse y aller. , i m not letting you go.
vous tes seules n est ce pas? , you re alone aren t you?
elle adore jouer au tennis. , she is fond of playing tennis.
je viens de tokyo japon. , i m from tokyo japan.
tu te comportes comme un enfant. , you re acting like a child.
c est un joueur de tennis. , he is a tennis player.
j en suis certain. , i m certain of that.
j attends juste un ami. , i m just waiting for a friend.
je suis tudiant. , i am a student.
il ne va pas progresser. , he is not going to get ahead.
vous tes fort l gante. , you re very stylish.
vous tes une bonne m re. , you re a good mother.
il est extr mement heureux. , he s extremely happy.
il est court de fonds. , he is running short of funds.
je ne suis plus ton mari. , i m not your husband anymore.
je me r jouis que vous soyez venu. , i m glad you came over.
t es pas aussi malin que moi. , you re not as smart as me.
c est un menteur. , he s a liar.
je suis satisfait de sa repr sentation. , i m pleased with his performance.
je suis le meilleur. , i m the best.
je ne suis pas en service aujourd hui. , i m not on duty today.
il est probable qu il soit en retard. , he s likely to be late.
tu es tr s en col re. , you re very angry.
je suis le plus grand de la classe. , i m the tallest one in the class.
il est recherch pour vol de v hicule. , he s wanted for grand theft auto.
tu n es pas trop vieux pour apprendre. , you re never too old to learn.
tu plaisantes! , you re kidding!
j en ai fini avec toi. , i m finished with you.
je ne suis toujours pas s re. , i m still not sure.
je suis assez embrouill e comme a. , i m confused enough as it is.
je suis cultiv e. , i m cultured.
je ne suis pas beau. , i m not good looking.
tu dramatises. , you re overreacting.
il est tr s rudit. , he is very learned.
je suis fort impressionn. , i m definitely impressed.
je suis pr par e. , i m prepared.
il nettoie sa carabine. , he s cleaning his rifle.
c est un esprit ind pendant. , he s an independent thinker.
tu es tr s l gant. , you re very stylish.
je suis vraiment prudent. , i m real careful.
je ne suis plus un d butant. , i m no longer a rookie.
j ai honte du comportement de mon fils. , i am ashamed of my son s conduct.
je suis la maison tout le temps. , i m home all the time.
je suis vraiment heureux. , i m really happy.
je ne suis pas mari e. , i m not married.
je retourne en australie en octobre. , i m going back to australia in october.
je d sesp re de vous voir! , i m dying to see you.
il est dingue de jazz. , he is crazy about jazz.
je vais avec tom. , i m going with tom.
j essaye toujours. , i m still trying.
vous tes l institutrice de mon enfant. , you re my kid s teacher.
je suis contente que a te rende heureuse. , i m glad that makes you happy.
je suis en route pour retourner en ville. , i m headed back into town.
vous tes exactement comme votre p re. , you re just like your father.
elle a arr t de parler. , she stopped talking.
on dit qu il est mort ici. , he is said to have died here.
elle d pend encore de ses parents. , she still depends on her parents.
je suis si heureux. , i m so happy.
elle est dou e pour jouer au tennis. , she is good at playing tennis.
je crains de vous avoir offens. , i m afraid i ve offended you.
tu es chanceuse. , you re fortunate.
tu es juste diff rent. , you re just different.
vous tes tr s gentil. , you re very nice.
vous tes soucieuse n est ce pas? , you re worried aren t you?
je n ai pas peur des fant mes. , i m not frightened of ghosts.
je rigole! , i m kidding.
elle lui a fait un proc s. , she sued him.
vous pr chez des convaincus. , you re preaching to the choir.
vous tes un dr le d oiseau. , you re a funny guy.
vous tes tr s bons. , you re very good.
je n en ai pas termin. , i m not done.
je continue d apprendre. , i m still learning.
je suis la plus vieille. , i m the oldest.
tu es bourr! , you are drunk!
j ach te des fruits et du chocolat. , i m buying fruit and chocolate.
je m ennuie tellement en ce moment. , i m so bored right now.
vous ne risquez rien. , you re quite safe.
elle est populaire aupr s des autres filles. , she is popular with other girls.
tu es trop dur avec toi. , you re too hard on yourself.
c est un parfait gentleman. , he is every inch a gentleman.
je suis une fille normale. , i m a normal girl.
vous tes celle qui m a form e. , you re the one who trained me.
tu es intr pide. , you re fearless.
je suis s r qu elles vont gagner. , i m sure they ll win.
tu joues au chef. , you re bossy.
je retourne la fac. , i m going back to college.
vous allez tre sur pieds. , you re going to be ok.
je suis surprise. , i m surprised.
je suis convaincu de ton innocence. , i am convinced of your innocence.
j emploie un bol et une cuill re. , i m using a bowl and a spoon.
c est le fils d une riche famille. , he is the son of a wealthy family.
je n en suis pas s r. , i m not sure about it.
elle l a grond. , she scolded him.
je suis fianc avec elle. , i am engaged to her.
je suis innocent. , i m innocent.
quel imb cile tu es! , you re such an idiot!
je suis juste heureux d tre ici. , i m just happy to be here.
elle est hors sujet. , she is missing the point.
vous gaspillez de l eau. , you re wasting water.
c est vraiment un mec bien. , he s really a good guy.
tu te comportes bizarrement. , you re acting weird.
j en ai marre qu il m engueule. , i m tired of him bawling me out.
tu es une femme formidable! , you re a wonderful woman.
je me fais nouveau pousser la barbe. , i m growing a beard again.
je vais vous dire un secret. , i m going to tell you a secret.
vous n tes qu un l che. , you re nothing but a coward.
il est dans sa biblioth que. , he is in his library.
elle va mieux de jour en jour. , she is getting better day by day.
il a peur de se tromper. , he s afraid of making mistakes.
je bois de l eau. , i m drinking water.
vous n allez pas vous mettre pleurer si? , you aren t going to cry are you?
il est fort comme un cheval. , he is strong as a horse.
je vais en am rique cet t. , i m going to america this summer.
j ai toujours faim. , i m still hungry.
j tudie la biblioth que. , i m studying in the library.
tu n es pas tr s amusante. , you re not very funny.
je suis rempla able. , i m replaceable.
je suis sien et elle est mienne. , i am hers and she is mine.
il est dot d un talent incroyable. , he s incredibly talented.
tu as raison je pense. , you re right i think.
vous tes paresseuse. , you re lazy.
je cherche un vieil homme. , i m looking for an old man.
elle se r jouit de donner. , she is a cheerful giver.
il quittera chicago demain. , he is leaving chicago tomorrow.
je suis coinc e. , i m stuck.
tu es un grand malade. , you are seriously ill.
je me trouve actuellement l a roport. , i m at the airport right now.
j en ai marre de vous. , i m sick of you.
a me pompe. , i m getting tired of this.
vous tes vraiment pre au travail. , you re really a hard worker.
tu n es pas grosse. , you re not fat.
je n ai pas de talent. , i m untalented.
je raccourcis mon voyage. , i m cutting my trip short.
elle n est pas pauvre. , she isn t poor.
vous n tes pas encore adolescent. , you re not a teenager yet.
je ne suis pas encore pr t. , i m still not ready.
je commence comprendre. , i am beginning to understand.
je suis professeur d anglais. , i am an english teacher.
je suis tout fait pr t. , i m all set.
je ne suis pas amoureuse de vous. , i m not in love with you.
vous m empoisonnez. , you re poisoning me.
tu gaspilles notre temps tous les deux. , you re wasting both of our time.
je ne suis pas embarrass. , i m not embarrassed.
il fait presque six pieds de haut. , he is almost six feet tall.
vous tes extraverti. , you re extroverted.
je suis un peu occup. , i m a little busy.
il est proche du pr sident. , he is close to the president.
elle a l habitude de voyager. , she is used to traveling.
c est votre ami. , he s your friend.
il est maintenant tudiant la fac. , he s now a college student.
il a tr s peur des chiens. , he is very afraid of dogs.
il est ce qu on appelle un pionnier. , he is what we call a pioneer.
je suis mauvais en sport. , i m bad at sports.
j y vais aujourd hui. , i m going there today.
je suis d pourvue d ambition. , i m unambitious.
tu es ambitieux. , you re ambitious.
elle planifie un voyage. , she is contemplating a trip.
elle n a pas de charme. , she is curt.
vous tes soucieux n est ce pas? , you re worried aren t you?
il a la cinquantaine. , he s in his fifties.
je suis t tue. , i m stubborn.
vous tes tr s peureuses. , you re very timid.
je suis sans enthousiasme. , i m unenthusiastic.
je suis japonais. , i am a japanese.
je suis au r gime. , i m on a diet.
vous tes tr s riche. , you are very rich.
je ne suis pas extraverti. , i m not outgoing.
ton nom m est familier. , i am familiar with your name.
tu ne saignes pas. , you re not bleeding.
elle a certainement plus de quarante ans. , she is certainly over forty.
il s int resse aux proph ties mayas. , he s interested in mayan prophecies.
je suis en train de lire ce livre. , i m reading this book.
je ne suis pas encore pr te. , i am not ready yet.
tu es parano aque. , you re being paranoid.
je ne suis pas folle. , i m not insane.
vous tes tous finis. , you re all done.
tu es tr s avis. , you re very wise.
je vais tre enseignante. , i m going to be a teacher.
je suis plus l gant que toi. , i m smarter than you.
vous tes toutes seules. , you re all alone.
tu es bon cuisinier non? , you are a good cook aren t you?
tu es ma seule v ritable amie. , you re my only real friend.
il est parfait pour le poste. , he is just right for the job.
vous ne me dites pas la v rit. , you re not telling me the truth.
je ne trouve pas les mots. , i am speechless.
il a mon ge. , he s my age.
je suis tr s strict. , i m very strict.
il est dans la cuisine. , he is in the kitchen.
il est devant nous en math matiques. , he is ahead of us in mathematics.
elle a divorc. , she s divorced.
tu es astucieuse. , you re crafty.
je vais y travailler. , i m going to work on that.
il a l air bien. , he s looking good.
je vais lire quelques livres. , i m going to read some books.
je suis endurant. , i m resilient.
vous tes terriblement silencieuses ce matin. , you re awfully quiet this morning.
vous tes endurants. , you re resilient.
je ne suis pas un toxico. , i m not a drug addict.
je suis nerveuse et excit e. , i m nervous and excited.
vous tes un opportuniste. , you re opportunistic.
vous n tes pas rationnels. , you re not being rational.
je suis en train de me peser. , i am weighing myself.
je romps ce soir avec ma petite copine. , i m breaking up with my girlfriend tonight.
il a peur de me parler. , he s scared to talk to me.
je suis impressionn par votre fran ais. , i m impressed with your french.
je suis loin de chez moi. , i m a long way from home.
je ne te le dis pas. , i m not telling you.
vous tes un bon journaliste. , you re a good journalist.
tu n es pas mari e si? , you re not married are you?
vous n tes pas autoris manger ceux ci. , you re not allowed to eat those.
il est fauch. , he is hard up for money.
je sais skier. , i m able to ski.
je ne suis pas si occup d habitude. , i m usually not this busy.
je suis un h ros. , i m a hero.
tu ne saisis pas. , you re missing the point.
vous tes le professeur. , you re the teacher.
vous tes toutes contentes. , you re all happy.
tu es sauf. , you re safe.
il ne porte pas de chapeau. , he is not wearing a hat.
c est toi qui t es emball e. , you re the one that went crazy.
il est inquiet de sa venue. , he is anxious for her to come.
je volerai vers la lune. , i m going to fly to the moon.
je suis vraiment en col re ce sujet. , i m really angry about this.
vous tes libres d y aller. , you re free to go.
il est casse couilles avec moi. , he is giving me a hard time.
il a peur de son p re. , he is afraid of his father.
je ne prends pas le pari. , i m not taking the bet.
je suis contre ce projet de loi. , i m against the bill.
je suis trop pauvre pour l pouser. , i m too poor to marry her.
je suis tudiant. , i m a college student.
il bataille encore avec les croyances religieuses. , he is still grappling with religious beliefs.
je suis t tu. , i m stubborn.
c est une bonne nageuse. , she is a good swimmer.
je suis toujours ton ami. , i m still your friend.
il est p re de trois enfants. , he is the father of three children.
tu es aussi grand que ma s ur. , you are as tall as my sister.
elle chante les derniers tubes. , she is singing the latest popular songs.
chacun de nous te fait confiance. , you are trusted by every one of us.
je ne suis toujours pas satisfait. , i m not satisfied yet.
je vais avoir besoin de plus de temps. , i m going to need some more time.
n avoir qu un ami me convient. , i m ok with having just one friend.
je suis certaine d avoir ferm le gaz. , i m sure i turned off the gas.
je n ai pas peur du tout. , i m not at all afraid.
elle s est mise pleurer. , she started crying.
je suis vraiment fi re de cela. , i m really proud of that.
je suis entre deux postes. , i m between jobs.
je suis occup e aujourd hui. , i am busy today.
je ne suis pas totalement convaincu de cela. , i m not totally convinced of that.
tu n es pas la seule canadienne ici. , you re not the only canadian here.
vous tes hors de contr le. , you re out of control.
je ne vais pas vous aider. , i m not going to help you.
tu es presque aussi grand que tom. , you re almost as tall as tom.
il est occup apprendre l anglais. , he is busy learning english.
je suis folle. , i m crazy.
je ne sors pas avec ce temps. , i m not going out in this weather.
tu es une de ces dragueuse! , you re such a flirt.
vous devez venir avec moi. , you are to come with me.
elle parvint ouvrir la caisse. , she succeeded in opening the box.
je suis un tranger. , i m a foreigner.
elle est son amie. , she is her friend.
je suis celle qui a peint ce tableau. , i m the one who painted this picture.
vous tes suffisants. , you re conceited.
je suis tr s seul ici. , i m very lonely here.
vous tes en grave danger. , you re in serious danger.
votre d collage est confirm. , you are cleared for takeoff.
tu viens t t. , you are early.
tu n es plus mon ami. , you re not my friend anymore.
vous tes beaux. , you are beautiful.
je suis pr t. , i am ready.
elle tient son b b dans ses bras. , she is holding her baby in her arms.
je ne m en vais pas. , i m not leaving.
je n en suis pas contente. , i m not happy about it.
c est un emmerdeur. , he is a tough cookie.
je ne suis pas t l pathe. , i m not a psychic.
je suis une patiente. , i m a patient.
j ai pour ainsi dire trop mang. , i m kind of full.
je ne dis rien. , i m not saying anything.
je suis certaine de son succ s. , i am sure of her success.
il est ce qu on appelle un gentleman. , he is what is called a gentleman.
je suis content que a vous rende heureuses. , i m glad that makes you happy.
je suis tout seul. , i m all alone.
vous tes la seule me comprendre. , you re the only one who understands me.
j agis pour mon p re. , i am acting for my father.
vous tes fort serviables. , you re very helpful.
il a peur de prendre l avion. , he is afraid to fly in an airplane.
il ach te un vieux chapeau. , he s buying an old hat.
je suis heureux pour vous deux. , i m happy for you both.
je suis r ellement fi re de vous. , i m really proud of you.
je suis un tr s mauvais danseur. , i m a really bad dancer.
vous tes celui qui m a entra n. , you re the one who trained me.
j ai une assu tude. , i m addicted.
tu es seul n est ce pas? , you re alone aren t you?
elle est tr s am re envers moi. , she is very bitter toward me.
je suis revenu. , i m back.
c est un journaliste ind pendant. , he s a freelance journalist.
maintenant je me sens bien. , i m feeling fine now.
il est critique plut t que romancier. , he is a critic rather than a novelist.
je ne trouve pas les mots. , i am at a loss for words.
vous allez aussi me manquer. , i m going to miss you too.
je vais attendre dans la voiture. , i m going to wait in the car.
tu es avec des amies. , you re with friends.
vous tes brillante. , you re bright.
je suis juste une fille normale. , i m just an average girl.
vous tes d go tante. , you re disgusting.
je suis terriblement fatigu. , i m awfully tired.
je suis certain de pouvoir persuader tom. , i m sure i can persuade tom.
je suis en train d tudier. , i am studying now.
vous tes toujours vivantes. , you re still alive.
je suis fier de ma famille. , i m proud of my family.
vous tes tr s ing nieuse. , you re very clever.
tu n es plus la bienvenue chez moi. , you re no longer welcome in my house.
t es marrante. , you re funny.
vous tes tr s occup es. , you re very busy.
j en ai assez d couter tes rodomontades. , i m tired of listening to your bragging.
on le dit mort. , he is said to have died.
il est comme un p re pour moi. , he is like a father to me.
vous tes malines. , you re clever.
je plie ma robe. , i am folding my dress.
je suis aussi g e que vous. , i m as old as you.
je ne suis pas institutrice. , i m not a teacher.
tu es n gligente. , you re careless.
tu es content. , you re satisfied.
je suis mari. , i m married.
je vais juste faire une promenade. , i am just going for a walk.
elle est bonne pour l imiter. , she is good at imitating him.
je connais l auteur. , i am acquainted with the author.
je suis fi re de vous tous. , i m proud of you all.
je connais ce quartier. , i m familiar with this neighborhood.
je peux courir. , i m able to run.
je suis responsable de sa protection. , i am responsible for her protection.
je suis juste derri re tom. , i m right behind tom.
je suis fi re de mon p re. , i m proud of my father.
tu n y es pas en s curit. , you re not safe there.
je suis musulman. , i am a muslim.
vous tes fort g n reuses. , you re very generous.
tu es tellement parano aque! , you re so paranoid.
je suis jalouse. , i m jealous.
je suis dur. , i m tough.
elle commence jouer du piano. , she is beginning to play the piano.
je suis en train de lire une lettre. , i am reading a letter.
vous n tes pas tr s amusante. , you re not very funny.
je pers v re. , i m persevering.
mes parents m adorent. , i am loved by my parents.
il est dans la merde. , he s in big trouble.
je suis surprise que cette machine fonctionne encore. , i m surprised this machine still works.
il est confiant dans ses capacit s. , he is confident of his ability.
tu es dedans jusqu au cou. , you re in over your head.
je vais avoir besoin d une perruque. , i m going to need a wig.
vous tes jeunes et forts. , you re young and strong.
je suis moi m me un peu lecteur. , i m a bit of a reader myself.
tu es d loyal. , you re disloyal.
il est tokyo. , he s in tokyo.
tu vas devoir y aller. , you re going to have to leave.
